time taken in seconds: N = 300.
STL, Linked List, HEAP, 
0.0191778,0.0175538,0.0108002,
0.0142081,0.00921127,0.0046426,
0.00319746,0.00441342,0.00273957,
0.00376503,0.00390819,0.00192409,
0.00227311,0.0044177,0.00198929,
0.0028252,0.00375342,0.00165155,
0.0021616,0.00295999,0.00217065,
0.00226987,0.00259719,0.00163143,
0.00210962,0.00256724,0.00269329,
0.00254803,0.00280682,0.00131201,
0.00156932,0.00174866,0.00131066,
0.00176812,0.00270494,0.00171436,
0.00272662,0.00213594,0.00160585,
0.00177263,0.00211884,0.00141869,
0.00196809,0.00323935,0.00166615,
0.00202478,0.00177506,0.00126523,
0.0016146,0.00180815,0.00155323,
0.00229948,0.00308058,0.00248653,
0.00164945,0.0023772,0.00138245,
0.00190553,0.00240832,0.00206553,
0.00228775,0.00296137,0.00131669,
0.0015765,0.00175847,0.00130753,
0.0018108,0.00268224,0.00154241,
0.00215307,0.00284115,0.00152205,
0.00194485,0.00208417,0.00155323,
0.00211273,0.00392909,0.00175699,
0.00157878,0.00179609,0.00125586,
0.00156022,0.00205132,0.00152946,
0.00229274,0.00305093,0.00179367,
0.002236,0.00193833,0.00155422,
0.00166269,0.00220941,0.00213648,
0.00250073,0.00281301,0.00127994,
0.0015673,0.00180853,0.00127993,
0.0017687,0.00338093,0.00180657,
0.00203123,0.00318179,0.00133885,
0.00192699,0.00211531,0.00148049,
0.00207797,0.00398002,0.00167646,
0.00158136,0.00174306,0.00127854,
0.00158553,0.00257774,0.00163568,
0.00225484,0.00235448,0.001721,
0.00206409,0.00198502,0.00148705,
0.00176407,0.00222904,0.00214422,
0.0020376,0.00273493,0.00127011,
0.00159563,0.00174499,0.00165952,
0.00202627,0.00270029,0.0016367,
0.00199414,0.00310055,0.00132409,
0.00175799,0.00230251,0.0014927,
0.00195992,0.00331639,0.00179253,
0.00192542,0.00177234,0.00136352,
0.00174804,0.00261992,0.00153182,
0.00234246,0.0034647,0.00172584,
0.00168055,0.00218867,0.00128367,
0.00156529,0.00180754,0.00150205,
0.00374196,0.00309844,0.00162244,
0.00177686,0.00201691,0.00146067,
0.00161096,0.00205011,0.00261305,
0.00210135,0.0020492,0.0015134,
0.00180374,0.00224026,0.00126876,
0.00174857,0.0050649,0.00141842,
0.00177488,0.00220683,0.00148256,
0.00176686,0.00182578,0.00140743,
0.00201749,0.00343244,0.001327,
0.0018118,0.00219264,0.00143621,
0.00181684,0.00179335,0.00209305,
0.00338094,0.00256094,0.00147279,
0.0018057,0.00206543,0.00126835,
0.00165577,0.00200058,0.00174765,
0.00215661,0.00190367,0.00138782,
0.00180946,0.00220956,0.00144574,
0.00170618,0.00569834,0.00144863,
0.0017818,0.00222234,0.00148404,
0.0017667,0.00183739,0.00130434,
0.00218004,0.00335171,0.00135946,
0.00185858,0.00221643,0.00141669,
0.00178793,0.0017672,0.00275202,
0.00291473,0.00226083,0.00146671,
0.00184127,0.00210144,0.001351,
0.00157367,0.00202622,0.00175581,
0.00274748,0.00246604,0.00155186,
0.00180815,0.00216764,0.00127558,
0.00203107,0.0048299,0.00184028,
0.00181398,0.00258088,0.00144917,
0.00162068,0.00182278,0.00151756,
0.0022757,0.00238295,0.00136491,
0.00176974,0.00181612,0.00125953,
0.00156382,0.00176039,0.00144203,
0.0037001,0.00321984,0.00161094,
0.00182973,0.00213992,0.00133085,
0.00156928,0.00207392,0.00180604,
0.00198064,0.00238359,0.00142176,
0.0021133,0.00194155,0.00156664,
0.00159536,0.00444397,0.00243572,
0.00196264,0.00216847,0.00142087,
0.00161354,0.00175806,0.00133683,
0.00196188,0.00323965,0.00147341,
0.001811,0.00265899,0.00134438,
0.00186472,0.00192847,0.00280833,
0.00303596,0.0027861,0.00146202,
0.0017975,0.00192516,0.00126703,
0.00162959,0.00275934,0.00228248,
0.00169612,0.00229525,0.00146841,
0.00183053,0.00212202,0.00128041,
0.00207868,0.00375684,0.00213593,
0.00183373,0.00222899,0.00152314,
0.00163276,0.00177236,0.0014358,
0.00211155,0.00265945,0.00136798,
0.00187431,0.00176519,0.00125283,
0.00162271,0.0022698,0.0028383,
0.00296683,0.00226442,0.00155638,
0.001818,0.00178103,0.0012769,
0.00157349,0.00261346,0.00180649,
0.00194447,0.00261856,0.00172337,
0.00172951,0.00270594,0.00147054,
0.0029411,0.00412115,0.00153106,
0.00183854,0.00194912,0.00128156,
0.00161085,0.00177275,0.00194686,
0.00212274,0.00218112,0.00153382,
0.00242228,0.00207637,0.00157308,
0.00178134,0.00534673,0.00206248,
0.00179636,0.0020844,0.00140596,
0.00157514,0.0017614,0.00125605,
0.00217161,0.00280808,0.00148745,
0.00184196,0.00349648,0.00143232,
0.00209891,0.00458837,0.00306828,
0.00230254,0.00239519,0.00153076,
0.0017003,0.0018288,0.00170025,
0.0021019,0.00243158,0.00161978,
0.00222924,0.0021858,0.00147446,
0.00184311,0.00454352,0.00284786,
0.00195701,0.00224922,0.00140005,
0.00158809,0.00174636,0.00138304,
0.00223026,0.00289021,0.00167149,
0.00250932,0.00255549,0.00143028,
0.00195399,0.00421474,0.00302921,
0.00245912,0.00272153,0.00162341,
0.00159118,0.00200359,0.00177983,
0.00220856,0.00306059,0.00145359,
0.00179124,0.00314813,0.00132893,
0.00217465,0.00322155,0.00240112,
0.00215779,0.00359897,0.00127345,
0.00161169,0.00233919,0.00177041,
0.00239565,0.00312024,0.0016294,
0.00231539,0.00192647,0.00166894,
0.0020675,0.00328391,0.00166161,
0.00196141,0.00283826,0.00126301,
0.00159947,0.0017788,0.00180322,
0.00214473,0.00268615,0.00154438,
0.00193841,0.00324169,0.0016089,
0.0018371,0.00335115,0.00237986,
0.00219639,0.00398139,0.00151883,
0.00177033,0.0026247,0.00205001,
0.00209569,0.00279502,0.0016394,
0.00192519,0.0027165,0.00153926,
0.00227175,0.00282466,0.00157654,
0.00220733,0.00277422,0.00126913,
0.00156851,0.00186354,0.00196616,
0.00206205,0.0029411,0.00166098,
0.00215388,0.00210578,0.00152806,
0.00161561,0.00248504,0.00175316,
0.00207463,0.0029851,0.00189175,
0.00159588,0.00182395,0.00142893,
0.00223594,0.00268437,0.00169705,
0.00321075,0.00250509,0.00149094,
0.00173401,0.00175056,0.00126251,
0.00161164,0.00566818,0.00163247,
0.00203722,0.00266616,0.00149346,
0.00167138,0.00178215,0.00150484,
0.00321542,0.00239028,0.00152411,
0.00192788,0.00237991,0.00150103,
0.00162937,0.00615511,0.00162993,
0.00214948,0.00215879,0.0014565,
0.00180931,0.00182279,0.0013856,
0.00224984,0.00285775,0.00144486,
0.00185486,0.0021906,0.00142544,
0.00157393,0.00211735,0.00206888,
0.00233557,0.00274549,0.00150453,
0.00193357,0.0021373,0.0012605,
0.00157423,0.00205123,0.00186174,
0.00237766,0.0020232,0.00155295,
0.00189509,0.00227992,0.0012783,
0.00158222,0.00503069,0.00230592,
0.00202063,0.00224399,0.00140746,
0.00160509,0.00176661,0.00144101,
0.00196626,0.00356618,0.00153364,
0.0019664,0.00227111,0.00147578,
0.00157605,0.0042495,0.00223805,
0.00264792,0.0023821,0.00148703,
0.00172027,0.00177137,0.00129668,
0.00189938,0.00379189,0.0016427,
0.00189036,0.00222588,0.0014743,
0.00157967,0.00184711,0.00200617,
0.00268785,0.00303809,0.00159322,
0.00187513,0.00204945,0.00126584,
0.00157215,0.00202161,0.00190789,
0.0023512,0.00229904,0.00138493,
0.00156633,0.00183931,0.00125401,
0.00160076,0.00534417,0.00184589,
0.00230592,0.0023129,0.00147928,
0.00159765,0.00182358,0.00130561,
0.00208018,0.00336758,0.00135159,
0.00191688,0.00269254,0.00145713,
0.00158641,0.00251485,0.00341299,
0.00295766,0.00239669,0.00154094,
0.0018686,0.00177686,0.0013111,
0.0016919,0.00413145,0.00145304,
0.00186989,0.00222631,0.00144923,
0.00180295,0.00175512,0.0022714,
0.00333582,0.00263905,0.00154517,
0.00185185,0.00199821,0.00126856,
0.00157172,0.00194356,0.00172581,
0.00248406,0.00202825,0.00156451,
0.00188221,0.00238932,0.00127172,
0.00162058,0.0057914,0.00161534,
0.00192317,0.00231138,0.0014081,
0.00163434,0.00175206,0.00128681,
0.00209194,0.00306492,0.00148784,
0.00183626,0.00242825,0.0014471,
0.00158504,0.00184638,0.00308829,
0.00272764,0.00310879,0.00160002,
0.00181356,0.00179317,0.00129396,
0.00169796,0.00470518,0.0018285,
0.00183986,0.0022958,0.00165288,
0.00158765,0.00175806,0.00282455,
0.00305854,0.00293637,0.00150216,
0.00184695,0.00181198,0.00126203,
0.00161636,0.00272541,0.00220437,
0.00167577,0.00220191,0.00126372,
0.00157156,0.00174483,0.00125088,
0.001614,0.00613056,0.00217695,
0.0018265,0.00239856,0.00138221,
0.00159452,0.00180529,0.00133264,
0.00307384,0.00260818,0.00149051,
0.00191161,0.00232294,0.00128891,
0.00156618,0.0053587,0.00189234,
0.00194244,0.00220988,0.00141264,
0.00162442,0.00180375,0.00129664,
0.0016668,0.00377925,0.00139089,
0.00183677,0.00229836,0.00149956,
0.00178239,0.00178133,0.00217794,
0.00336741,0.00279889,0.00148224,
0.00209803,0.00204755,0.00127867,
0.00159034,0.00388006,0.00181692,
0.00181665,0.00237789,0.00152849,
0.00183097,0.00179882,0.001301,
0.00353919,0.00316175,0.00164462,
0.00186784,0.00223775,0.00132615,
0.00159182,0.00185414,0.00246517,
0.00256609,0.00199626,0.00150968,
0.00160813,0.00174384,0.00126272,
0.00156293,0.00235889,0.00246756,
0.00245318,0.00256323,0.00149845,
0.0017486,0.00182184,0.00125969,
0.00157012,0.00351994,0.00194118,
0.00168597,0.0021354,0.00126995,
0.00156446,0.00177311,0.00140919,
0.00236713,0.00464769,0.00146674,
0.00180426,0.0020036,0.00127211,
0.00157604,0.00174986,0.00130576,
0.0020385,0.00384599,0.00159006,
0.00209309,0.00210302,0.00165596,
0.00180383,0.00504554,0.00237486,
0.00182731,0.00211408,0.00127254,
0.00156472,0.00174975,0.00129107,
0.00209049,0.00285666,0.00155738,
0.00219405,0.00214965,0.0015824,
0.00173123,0.00201691,0.00165214,
0.00353943,0.00314804,0.00148004,
0.00173566,0.00175391,0.00128325,
0.00156731,0.0023734,0.00183372,
0.00202887,0.00275494,0.00213249,
0.00165372,0.0025303,0.00141165,
0.00230924,0.00485529,0.00152103,
0.00187255,0.0019425,0.00129523,
0.00157053,0.00174818,0.00152739,
0.00237587,0.00313128,0.00188036,
0.00218941,0.00195345,0.0015209,
0.00182659,0.00606405,0.00157165,
0.00193314,0.00200528,0.00127167,
0.00156956,0.00180647,0.00144459,
0.00200501,0.00385375,0.00200091,
0.00175278,0.00241003,0.00143536,
0.00180514,0.00319789,0.00188294,
0.00181728,0.00304344,0.00165518,
0.00159358,0.00177789,0.0012868,
0.00168936,0.00311301,0.00225438,
0.00204942,0.00223435,0.00184675,
0.00171531,0.00241413,0.0019853,
0.00291128,0.00222289,0.00160234,
0.00178055,0.00178083,0.00128406,
0.00156614,0.00182249,0.00163548,
0.00223336,0.00350678,0.00143008,
0.00210253,0.00268349,0.00134937,
0.00257764,0.00481239,0.00156902,
0.00185839,0.00201672,0.00129321,
0.0015671,0.00181171,0.00140614,
0.00230961,0.00272416,0.00151218,
0.00182486,0.00324112,0.00132944,
0.00184533,0.0025525,0.0018597,
0.0019145,0.00283682,0.00175822,
0.00165777,0.0018101,0.00136728,
