time taken in seconds: N = 800.
STL, Linked List, HEAP, 
0.00252814,0.00285344,0.00245285,
0.00327095,0.00302588,0.00204944,
0.00252759,0.00291799,0.00247241,
0.00291627,0.00246265,0.00152034,
0.00170192,0.00191542,0.00132098,
0.00153281,0.0017645,0.00122267,
0.00152556,0.00168821,0.00121411,
0.00150836,0.00168495,0.0011995,
0.00150316,0.00195212,0.00198651,
0.0017677,0.00187132,0.00118397,
0.00149866,0.00167403,0.00119772,
0.00142732,0.00156182,0.00127041,
0.00146487,0.00155977,0.00112012,
0.00139382,0.00164939,0.00114669,
0.001493,0.00167924,0.00120032,
0.00151535,0.00212965,0.0019284,
0.00176952,0.00179978,0.00121044,
0.00140182,0.00162054,0.00118881,
0.00150497,0.00167336,0.00123664,
0.00146017,0.00157686,0.00112066,
0.00137959,0.00181604,0.00125451,
0.00145771,0.00159292,0.00112394,
0.00154169,0.0028299,0.00145687,
0.00175758,0.00168733,0.00118497,
0.00148773,0.001685,0.00116264,
0.00140372,0.00160808,0.00112253,
0.00140435,0.00160196,0.00112691,
0.00137654,0.00155504,0.00112517,
0.00141489,0.00155568,0.00115584,
0.00159881,0.0027564,0.00132137,
0.00167361,0.00171162,0.00117269,
0.00141067,0.00157,0.00112118,
0.00141032,0.00157236,0.00111875,
0.00142891,0.00155245,0.00111879,
0.0015279,0.00155634,0.00111936,
0.00139275,0.00155511,0.00117977,
0.00155506,0.0027732,0.00131867,
0.00162089,0.00167466,0.00116753,
0.00144959,0.00156796,0.00114319,
0.00145425,0.00164496,0.00112296,
0.00144795,0.00155401,0.00111844,
0.00141406,0.00155086,0.00113185,
0.00142918,0.00155219,0.0011324,
0.00161863,0.00274382,0.00134156,
0.00158742,0.00158211,0.0011578,
0.00142775,0.00157419,0.00112071,
0.0014058,0.00158941,0.00111831,
0.00139474,0.00159118,0.00111652,
0.00137469,0.00155657,0.00111488,
0.00137367,0.00161822,0.00114855,
0.00158657,0.00291327,0.0013309,
0.00168811,0.00168336,0.00122999,
0.00144644,0.00162318,0.00118959,
0.00145413,0.00165291,0.00116073,
0.00140499,0.00153611,0.00114921,
0.00139499,0.00155588,0.00112116,
0.00139491,0.00155332,0.00116351,
0.00157013,0.00282076,0.00133557,
0.0016868,0.0017114,0.00116362,
0.00146314,0.00156748,0.00112021,
0.00141704,0.00162962,0.0011201,
0.00138048,0.00155312,0.00111778,
0.00142009,0.00155546,0.00111779,
0.00141099,0.00155253,0.00118676,
0.00153318,0.002751,0.00129131,
0.00162767,0.00169133,0.00119807,
0.00142397,0.00158203,0.00112389,
0.00140727,0.00162769,0.00121761,
0.00137823,0.0015607,0.00111719,
0.00144515,0.00155717,0.00113442,
0.0013784,0.00160586,0.00113537,
0.00155275,0.0027509,0.001323,
0.00159956,0.00158571,0.00113645,
0.001409,0.00157359,0.00114587,
