time taken in seconds: N = 200.
STL, Linked List, HEAP, 
0.0130413,0.0171068,0.0128899,
0.00575703,0.00657599,0.00383175,
0.00407289,0.00362087,0.00242904,
0.00275856,0.00436505,0.00195692,
0.00220101,0.00222427,0.00154803,
0.00348262,0.00438053,0.00210642,
0.00231818,0.00232382,0.00148149,
0.00185421,0.00410554,0.00191658,
0.00229242,0.00300122,0.00162017,
0.0017718,0.0064566,0.00322607,
0.00252144,0.00256962,0.00148726,
0.00187151,0.00313137,0.00212763,
0.00204096,0.00290194,0.00153054,
0.00185416,0.00190439,0.00224734,
0.00349008,0.00354097,0.00176031,
0.00209321,0.00194564,0.00132064,
0.00167791,0.00403368,0.0017126,
0.00197496,0.00293805,0.0016812,
0.00173854,0.0034719,0.00226548,
0.00211207,0.00265208,0.00169351,
0.00187526,0.00185368,0.001309,
0.00162704,0.0042187,0.00154808,
0.00205954,0.00246374,0.00165644,
0.00164587,0.00180366,0.00187199,
0.00396158,0.00372728,0.00161149,
0.0019126,0.0018507,0.00132929,
0.00171212,0.00412667,0.00145865,
0.00205927,0.00254028,0.00175016,
0.00162214,0.00177054,0.00205393,
0.00349014,0.00403069,0.00171089,
0.00186083,0.00186511,0.00125988,
0.00163886,0.004209,0.00150551,
0.00199013,0.00259838,0.00146157,
0.00164867,0.00177254,0.00193815,
0.00361485,0.00332631,0.00163074,
0.00205744,0.00184787,0.00126995,
0.00164907,0.00313851,0.00196832,
0.00189575,0.0025642,0.00154914,
0.00178876,0.001898,0.00128661,
0.00361507,0.00426285,0.00162794,
0.00206823,0.00182781,0.00129238,
0.00162131,0.00198295,0.0019758,
0.00218648,0.00230471,0.00126329,
0.00159473,0.00174589,0.00124976,
0.00157748,0.00562737,0.00221695,
0.00210084,0.00350973,0.00149406,
0.00166841,0.00185526,0.00148809,
0.00225353,0.00281577,0.00150654,
0.0021397,0.00235998,0.00132063,
0.00159282,0.00649397,0.0017656,
0.00207732,0.00232477,0.00131708,
0.00161026,0.00185785,0.00168328,
0.00272598,0.00219318,0.00174357,
0.00188935,0.00221739,0.00125831,
0.00160504,0.00597992,0.00245842,
0.00203139,0.00234345,0.00135746,
0.00169406,0.00186488,0.0013832,
0.00245726,0.00240498,0.00152726,
0.00190231,0.00230063,0.00141,
0.00160964,0.00565044,0.0019974,
0.00215211,0.0023239,0.00152192,
0.00167594,0.00178828,0.00128175,
0.00204349,0.00337248,0.00137148,
0.00184732,0.0022294,0.00145612,
