time taken in seconds: N = 500.
STL, Linked List, HEAP, 
0.00267881,0.00274831,0.00189066,
0.00329708,0.00317671,0.00203572,
0.00253125,0.00228827,0.00162749,
0.00227482,0.00496467,0.00198915,
0.00255674,0.00309783,0.00177006,
0.00250317,0.00236923,0.00142505,
0.00192009,0.00242489,0.00138209,
0.0018461,0.00175086,0.00130541,
0.0021416,0.00388187,0.00266739,
0.00196828,0.00281757,0.00154069,
0.00261656,0.00253221,0.00129759,
0.00160687,0.00235781,0.00153199,
0.00167459,0.00189579,0.00162732,
0.00185305,0.00193984,0.00126828,
0.001621,0.00201364,0.00152345,
0.00201535,0.00213222,0.00126984,
0.00159641,0.00174114,0.00121926,
0.00150897,0.00173878,0.00122368,
0.00150905,0.00171773,0.00120777,
0.00165211,0.00278459,0.00140649,
0.00181629,0.00228291,0.00145407,
0.00195536,0.00307816,0.00182181,
0.00292929,0.00257484,0.00151117,
0.00177983,0.0017714,0.00126866,
0.00172044,0.00221344,0.00164826,
0.00208918,0.00215655,0.00145062,
0.00165738,0.00173774,0.00124304,
0.00151879,0.00168176,0.00120386,
0.00153455,0.0018061,0.00121805,
0.00153512,0.00168493,0.00121349,
0.0016253,0.002086,0.00171876,
0.00262582,0.00280796,0.00153528,
0.00189165,0.0022142,0.00162765,
0.00211429,0.00247731,0.001467,
0.0020491,0.00203395,0.00126184,
0.00156967,0.00174821,0.00121371,
0.00190018,0.00214167,0.00130016,
0.00176682,0.00212867,0.00133543,
0.00152057,0.00169825,0.00120449,
0.00150895,0.00236332,0.00121355,
0.00155001,0.00168391,0.00123104,
0.00151535,0.00168172,0.00124868,
0.00150815,0.00216447,0.00154631,
0.00197836,0.00302154,0.00174313,
0.00209355,0.0030757,0.00145868,
0.00159096,0.0017342,0.00120827,
0.0021693,0.00168713,0.00144358,
0.00256067,0.00350911,0.00150455,
0.00177992,0.00202221,0.00165838,
0.0020214,0.00183857,0.00125682,
0.00178494,0.00220806,0.00140492,
0.00168637,0.00168402,0.00121613,
0.00151007,0.00243991,0.0015074,
0.00182266,0.00377883,0.00166387,
0.00187811,0.0024302,0.00145211,
0.00220365,0.00458996,0.0014431,
0.00171527,0.00214891,0.00147566,
0.00166516,0.00177868,0.00125245,
0.00217043,0.00264756,0.00167519,
0.00233322,0.00289874,0.00153135,
0.00185333,0.00232105,0.0022763,
0.00242019,0.00183336,0.00145037,
0.00180625,0.00207083,0.00150506,
0.00167656,0.00203671,0.00144437,
0.00165785,0.00186762,0.00129744,
0.00179966,0.0021087,0.00135838,
0.00159014,0.00168266,0.00121999,
0.00151357,0.00169035,0.00124452,
0.00151475,0.00168717,0.00120448,
0.00150702,0.00169501,0.00121054,
0.00161162,0.00252682,0.00141044,
0.00179452,0.00216435,0.00134558,
0.0019732,0.00356285,0.00146962,
0.00159149,0.00315604,0.00196786,
0.00208379,0.00217912,0.00142974,
0.00189874,0.00220869,0.00150787,
0.00162099,0.00205508,0.00146312,
0.00188941,0.0019717,0.0012869,
0.00160259,0.00175425,0.00132717,
0.0015126,0.00176032,0.00122408,
0.00152499,0.0017326,0.00120593,
0.00163531,0.00228849,0.00212452,
0.00226168,0.00310644,0.00150186,
0.00185251,0.00216599,0.00198105,
0.00211333,0.00193516,0.00144479,
0.00183867,0.00228596,0.00130333,
0.00171163,0.00181332,0.00142771,
0.00230929,0.00181999,0.00141074,
0.0018879,0.00205354,0.00123117,
0.00153348,0.0017064,0.0012816,
0.00153446,0.00230867,0.00162201,
0.00182687,0.00394484,0.00177018,
0.00294984,0.00248957,0.00149448,
0.00180676,0.0019907,0.0014717,
0.00164885,0.00191075,0.00176977,
0.00186111,0.00199789,0.00126733,
0.00157452,0.00178187,0.00126936,
0.00152201,0.00174254,0.00127022,
0.0015976,0.0021466,0.00186564,
0.00174138,0.00224211,0.00147579,
0.00177793,0.00421688,0.00159719,
0.0017162,0.0017534,0.00126285,
0.00160612,0.00178862,0.00131959,
0.00152643,0.00192154,0.0022273,
0.00255831,0.00216907,0.00146813,
0.00178824,0.00229084,0.00129898,
0.00160046,0.0017806,0.00136163,
0.00180942,0.00208522,0.00138496,
0.00152403,0.00172603,0.00123472,
0.00178019,0.00271098,0.00210909,
