time taken in seconds: N = 600.
STL, Linked List, HEAP, 
0.0167267,0.0184379,0.00785141,
0.00571862,0.00380303,0.00356958,
0.00429818,0.00495825,0.00211203,
0.00255005,0.00349129,0.00228589,
0.0021421,0.00280783,0.00197501,
0.00216319,0.00226954,0.00187262,
0.00248142,0.00313963,0.00158928,
0.00232181,0.00212715,0.00159465,
0.00158173,0.00552055,0.00176998,
0.00195237,0.00222328,0.00144162,
0.00180776,0.00179744,0.00136425,
0.00214681,0.00350366,0.00140884,
0.00201461,0.00218595,0.00145802,
0.00167638,0.00215489,0.00310913,
0.00247195,0.00235269,0.00177464,
0.00186812,0.00213036,0.00127352,
0.00171234,0.00427619,0.00158935,
0.00177838,0.00240409,0.00148817,
0.00173608,0.00181965,0.00204499,
0.00320962,0.00261209,0.00192612,
0.00180913,0.00200773,0.00143286,
0.00158961,0.00197689,0.00228294,
0.0025525,0.00211489,0.00151612,
0.00207824,0.00216772,0.00131604,
0.00186715,0.00458597,0.0017219,
0.00182566,0.00210393,0.00140896,
0.00187641,0.00178865,0.00133463,
0.00233122,0.00318781,0.00135422,
0.00195107,0.00222226,0.00150441,
0.00172267,0.00206699,0.00295653,
0.00305182,0.00235473,0.00159577,
0.00179169,0.00190808,0.00126882,
0.00160142,0.00292453,0.00170749,
0.00171323,0.00215453,0.00149104,
0.00179203,0.00214014,0.00128284,
0.00188779,0.00476216,0.00168964,
0.00181449,0.00220519,0.00143196,
0.00160077,0.00189407,0.00136481,
0.00228498,0.00256162,0.00138372,
0.00183913,0.00226653,0.00141698,
0.00173455,0.00178142,0.00234671,
0.00347529,0.00349238,0.00150452,
0.00172759,0.00206195,0.00127492,
0.00161909,0.00315569,0.00150192,
0.00166895,0.00207322,0.00126943,
0.00156945,0.00176808,0.00125791,
0.00166036,0.00522035,0.00175046,
0.00187521,0.00217767,0.00152465,
0.00244409,0.00292137,0.00245723,
0.0022026,0.00199227,0.00148256,
0.00181777,0.00216467,0.0014447,
0.00160611,0.00512402,0.00145111,
0.00183685,0.00222083,0.00143259,
0.00169195,0.00183188,0.00127623,
0.00181388,0.00307219,0.00137203,
0.00182134,0.00177769,0.00137596,
0.00157127,0.00181323,0.00138851,
0.00241442,0.00472922,0.00149071,
0.00203038,0.00256109,0.00135455,
0.00160046,0.0018998,0.00164388,
0.00196698,0.00235322,0.00161528,
0.0020013,0.00203127,0.00163841,
0.00189702,0.00554082,0.00149374,
0.00179371,0.00206591,0.00126788,
0.00157709,0.00178986,0.0013861,
0.00226836,0.00265765,0.0016147,
0.00213701,0.00210348,0.00148649,
0.00174689,0.00218755,0.00223207,
0.00327049,0.00252384,0.00144874,
0.00171325,0.0017882,0.00127922,
0.0015882,0.00237026,0.00178091,
0.00195222,0.00266007,0.00180379,
0.00169549,0.00229442,0.00157792,
0.0021552,0.00465363,0.00151207,
0.00180981,0.0020559,0.00128324,
0.00157158,0.00192287,0.00147451,
0.00225146,0.00272336,0.00156482,
0.00241115,0.00198731,0.0015888,
0.00178409,0.00384198,0.0028096,
0.00193043,0.00249142,0.00136635,
0.0016984,0.00178604,0.00129225,
0.0019627,0.00307035,0.00154165,
0.00234156,0.00226582,0.00149734,
0.00188651,0.00213033,0.00154609,
0.00350674,0.00241836,0.00148326,
0.0018239,0.00196823,0.00126936,
0.00157289,0.00195446,0.00206778,
0.00221238,0.00293784,0.00191071,
0.00167306,0.00208179,0.00154434,
0.00185522,0.00354246,0.0014593,
0.00188662,0.00354728,0.00130105,
0.0015711,0.00179243,0.00129441,
0.0020949,0.00411794,0.00143921,
0.00197066,0.00294936,0.00140959,
0.0019223,0.00289727,0.00146583,
0.0018182,0.00280456,0.0016464,
0.00158657,0.00180185,0.00126156,
0.00159326,0.00304673,0.0021453,
0.00248886,0.00246786,0.00189801,
0.00196037,0.00238932,0.00169868,
0.00278561,0.003668,0.00197087,
0.00256935,0.00212291,0.00149205,
0.00229956,0.00379786,0.00167934,
0.00199904,0.00289108,0.00136398,
0.00193138,0.00230572,0.00195962,
0.00186021,0.00424759,0.00207645,
0.00172099,0.00189016,0.00146931,
0.00219257,0.00392245,0.00166441,
0.0022572,0.00214642,0.00149742,
0.00178161,0.00176944,0.00194489,
0.00247072,0.00219879,0.00149024,
0.0018716,0.00203272,0.00139638,
0.00178694,0.00184283,0.00179462,
0.00315973,0.00197241,0.00151,
0.00190963,0.00221588,0.00148704,
0.0016209,0.00339444,0.00189774,
0.00261629,0.00247152,0.00146087,
0.0017391,0.00209958,0.00127877,
0.00182115,0.00431868,0.0014321,
0.00191645,0.00225531,0.00142239,
0.00178347,0.00187816,0.00236817,
0.0028549,0.00291583,0.00158581,
0.00174405,0.00208153,0.00141036,
0.00158964,0.00193824,0.00201873,
0.00236544,0.00199783,0.00152922,
0.00182811,0.00219058,0.00137262,
0.00168006,0.00497377,0.00159898,
0.00183197,0.00219883,0.00151094,
0.00191389,0.00177872,0.00142891,
0.00228125,0.00282031,0.00136941,
0.00184356,0.00224315,0.00149597,
0.0017627,0.00216904,0.00313385,
0.00306943,0.00253397,0.0014827,
0.00180808,0.00191892,0.00143491,
0.00165925,0.00344761,0.00158285,
0.00172137,0.00222194,0.0015211,
0.00179932,0.00197681,0.00143169,
0.00264751,0.00390822,0.0014922,
0.00201773,0.00217359,0.00142015,
0.00182028,0.00196674,0.0016493,
0.00221792,0.00208201,0.00173021,
0.00184905,0.00220242,0.00142078,
0.00165198,0.00439478,0.00267963,
0.00241276,0.00232107,0.00152948,
0.00165556,0.00180333,0.00136102,
