time taken in seconds: N = 100.
STL, Linked List, HEAP, 
0.00876935,0.00644669,0.0041052,
0.00418486,0.00445917,0.00216988,
0.00247304,0.00304114,0.00265977,
0.00292548,0.00327645,0.00199704,
0.00216384,0.00208323,0.00179052,
0.00280059,0.00378085,0.00158876,
0.00192045,0.00214393,0.00129627,
0.00159217,0.0022316,0.00284712,
0.00197331,0.00221901,0.0015029,
0.0018723,0.00243559,0.00172215,
0.00271685,0.00421574,0.00149831,
0.00183642,0.00205535,0.00127713,
0.00157121,0.00180967,0.00166639,
0.00310229,0.00202186,0.00149162,
0.00166726,0.00182988,0.00144968,
0.00248676,0.00278846,0.00155861,
0.00187405,0.00315267,0.00129099,
0.00158318,0.00189795,0.00173705,
0.00185594,0.00254995,0.00162883,
0.00228327,0.00194765,0.00163681,
0.00172862,0.002676,0.00153239,
0.00233653,0.00241639,0.00186871,
0.00201214,0.00176655,0.00125932,
0.00193549,0.00227524,0.00162184,
0.00194279,0.00353509,0.00146012,
0.00182228,0.00208776,0.00172509,
0.0019051,0.00309344,0.00155945,
0.00202333,0.00243266,0.00126661,
0.00157245,0.00194582,0.00169434,
0.00179377,0.00257991,0.00173357,
0.00249963,0.00194787,0.00136184,
0.00178496,0.00290072,0.00146274,
0.00217135,0.00248452,0.00168856,
0.00198286,0.0018149,0.00126976,
0.00162438,0.00271712,0.00181334,
0.00249073,0.00283982,0.00171463,
0.00225643,0.0019575,0.0015577,
0.00170712,0.00228436,0.0018003,
0.00191246,0.00324152,0.00146136,
0.00160551,0.00175305,0.00131545,
0.00192746,0.00253146,0.0015921,
0.00191675,0.0035587,0.00141655,
0.00197516,0.00202564,0.00146355,
0.00234928,0.0037332,0.00168429,
0.00165085,0.00175134,0.00133434,
0.00158741,0.0020268,0.00160466,
0.00240621,0.00257649,0.00158279,
0.00219209,0.00194803,0.0015513,
0.00164508,0.00219089,0.00163988,
0.0019695,0.00295147,0.00149178,
0.00157869,0.00175427,0.00125809,
0.00170555,0.00257115,0.00179774,
0.0022264,0.00277902,0.00177863,
0.00171587,0.00240401,0.00142743,
0.0017795,0.00266996,0.00173763,
0.00223896,0.00191191,0.00132056,
0.0015982,0.00178571,0.00158768,
0.00204614,0.00257825,0.00150262,
0.00218955,0.00244892,0.00134982,
0.00183029,0.00213526,0.0014489,
0.0018957,0.00382105,0.00168507,
0.00158178,0.00176957,0.00134966,
0.0017063,0.00212794,0.00154226,
0.00199787,0.00287393,0.00154383,
0.002178,0.00192993,0.00159877,
0.00169516,0.0022725,0.00151175,
0.00194155,0.00423041,0.00191977,
0.00158271,0.00211388,0.00150698,
0.00184301,0.00263251,0.00153977,
0.00230909,0.0021913,0.00136237,
0.00187546,0.00175898,0.00126021,
0.00156405,0.003024,0.00196683,
0.00250315,0.00282834,0.00162319,
0.00178821,0.00229746,0.00137124,
0.00164001,0.00394274,0.0017098,
0.00175981,0.0021737,0.0014126,
0.00182128,0.00176924,0.00160366,
0.00245502,0.00306521,0.00172747,
0.00185304,0.00209733,0.00136531,
0.00175038,0.00186524,0.00130655,
0.00290256,0.00261906,0.00144577,
0.00177289,0.00217742,0.00146929,
0.00159549,0.00407684,0.00198762,
0.00228154,0.0022814,0.00159938,
0.00179396,0.00180669,0.00141851,
0.00163774,0.00344871,0.00160358,
0.00221908,0.00227105,0.00144669,
0.00175964,0.00176035,0.00189718,
0.00341041,0.0028369,0.00185753,
0.00183496,0.00210398,0.00133124,
0.0015951,0.00184249,0.00191281,
0.00210191,0.00198561,0.00151307,
0.00157777,0.0017572,0.00125628,
0.00156414,0.00288403,0.00295817,
0.00247742,0.0023299,0.00143671,
0.00175439,0.00184499,0.00131744,
0.00169385,0.00299033,0.00231391,
0.00232903,0.00291575,0.00159004,
0.00165918,0.00361139,0.00283256,
0.00247757,0.00237025,0.00149434,
