time taken in seconds: N = 50.
STL, Linked List, HEAP, 
0.013447,0.0215633,0.0116989,
0.00671563,0.00807456,0.00334482,
0.00317041,0.00325674,0.0031557,
0.00277585,0.00333947,0.00221008,
0.0026271,0.00272602,0.00241575,
0.00224859,0.00340025,0.00151137,
0.00176692,0.00193291,0.00148446,
0.00207356,0.00280826,0.0017417,
0.00227809,0.00243823,0.00146955,
0.00182182,0.00202863,0.00146837,
0.00215234,0.00265964,0.00180007,
0.0016989,0.00175243,0.00129935,
0.00164175,0.00209792,0.00145854,
0.00217048,0.00331699,0.00191607,
0.00167914,0.00220371,0.00145265,
0.00165654,0.00226987,0.00178779,
0.00177818,0.00322617,0.0014547,
0.00159708,0.00175253,0.00134038,
0.00169091,0.00215509,0.00177238,
0.00211697,0.00343452,0.00137157,
0.00181063,0.00226155,0.00136091,
0.00180892,0.00280434,0.0015209,
0.00217935,0.00221722,0.00128644,
0.00156876,0.00179212,0.00133814,
0.00186837,0.00270103,0.0018248,
0.0026026,0.00195711,0.00146081,
0.00174112,0.00208875,0.00148035,
0.00192944,0.00319495,0.00177348,
0.00186447,0.00177303,0.00125306,
0.00160872,0.00186419,0.00152217,
0.00199916,0.00268489,0.00162063,
0.00194742,0.00270285,0.00137397,
0.00178139,0.00211255,0.00147309,
0.00238781,0.00358513,0.00172673,
0.00160085,0.00176305,0.0012184,
0.00166792,0.00217853,0.00182441,
0.0021185,0.00237441,0.00171072,
0.00198044,0.00225838,0.00131141,
0.00172005,0.00237611,0.00196892,
0.00191121,0.00276365,0.00128165,
0.00156872,0.00175907,0.00127256,
0.0017204,0.00240839,0.00156046,
0.00181907,0.0027643,0.00190125,
0.00175473,0.0021584,0.00135403,
0.00180119,0.00266882,0.00166409,
0.00199756,0.00202037,0.00126518,
0.00157979,0.00175311,0.00128831,
0.00185555,0.00264469,0.00159981,
0.00183883,0.00252734,0.00177613,
0.00176964,0.00221758,0.00143282,
